image_path,source_dataset,source_class,canonical_class,crop,original_filename
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/87y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,87y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/84y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,84y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/40y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,40y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/157y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,157y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/107y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,107y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/117y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,117y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/180y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,180y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/28y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,28y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/139y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,139y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/89y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,89y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/205y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,205y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/48y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,48y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/165y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,165y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/90y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,90y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/74y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,74y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/25y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,25y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/55y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,55y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/158y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,158y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/95y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,95y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/9y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,9y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/118y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,118y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/132y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,132y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/112y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,112y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/59y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,59y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/128y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,128y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/61y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,61y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/36y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,36y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/15y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,15y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/214y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,214y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/60y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,60y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/99y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,99y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/175y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,175y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/153y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,153y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/200y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,200y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/204y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,204y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/189y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,189y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/171y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,171y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/82y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,82y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/24y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,24y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/101y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,101y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/223y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,223y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/197y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,197y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/114y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,114y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/79y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,79y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/209y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,209y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/210y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,210y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/35y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,35y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/23y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,23y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/38y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,38y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/146y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,146y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/96y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,96y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/13y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,13y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/54y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,54y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/30y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,30y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/140y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,140y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/217y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,217y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/208y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,208y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/136y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,136y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/179y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,179y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/17y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,17y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/70y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,70y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/201y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,201y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/188y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,188y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/22y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,22y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/21y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,21y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/104y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,104y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/93y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,93y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/29y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,29y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/131y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,131y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/219y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,219y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/100y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,100y.jpg
