canonical_class,class_id
Cherry - cherry powdery mildew ,83
Chilli - Anthracnose,84
Chilli - Healthy,85
Chilli - Leafcurl,86
Chilli - Leafspot,87
Chilli - Whitefly,88
Chilli - Yellowish,89
Citrus - citrus canker,90
Citrus - citrus canker ,91
Citrus - citrus greening disease,92
Citrus - citrus greening disease ,93
Coffee - coffee berry blotch Bing ,94
Coffee - coffee berry blotch Google ,95
Coffee - coffee leaf rust,96
Coffee - coffee leaf rust ,97
Corn - Gray Leaf Spot,98
Corn - Leaf Blight,99
Corn - Rust,100
Corn - corn gray leaf spot,101
Corn - corn gray leaf spot ,102
Corn - corn northern leaf blight,103
Corn - corn northern leaf blight ,104
Corn - corn rust,105
Corn - corn rust ,106
Corn - corn smut,107
Corn - corn smut ,108
Cucumber - cucumber angular leaf spot,109
Cucumber - cucumber angular leaf spot ,110
Cucumber - cucumber bacterial wilt,111
Cucumber - cucumber bacterial wilt ,112
Cucumber - cucumber powdery mildew,113
Cucumber - cucumber powdery mildew ,114
Eggplant - eggplant cercospora leaf spot,115
Eggplant - eggplant cercospora leaf spot ,116
Eggplant - eggplant phomopsis fruit rot Bing ,117
Eggplant - eggplant phomopsis fruit rot Google ,118
Eggplant - eggplant phytophthora blight Bing ,119
Garlic - garlic leaf blight,120
Garlic - garlic leaf blight ,121
Garlic - garlic rust,122
Garlic - garlic rust ,123
Ginger - ginger leaf spot ,124
Ginger - ginger sheath blight,125
Ginger - ginger sheath blight ,126
Grape - Black Rot,127
Grape - Healthy,128
Grape - grape black rot,129
Grape - grape black rot ,130
Grape - grape downy mildew,131
Grape - grape downy mildew ,132
Grape - grape leaf spot,133
Grape - grape leaf spot ,134
Grapevine - grapevine leafroll disease,135
Grapevine - grapevine leafroll disease ,136
Groundnut - Early leaf spot,137
Groundnut - Early rust,138
Groundnut - Healthy,139
Groundnut - Late leaf spot,140
Groundnut - Nutrition deficiency,141
Groundnut - Rust,142
Lettuce - lettuce downy mildew,143
Lettuce - lettuce downy mildew ,144
Lettuce - lettuce mosaic virus,145
Lettuce - lettuce mosaic virus ,146
Maple - maple tar spot,147
Paddy - Bacterial Leaf Blight,148
Paddy - Bacterial Leaf Streak,149
Paddy - Bacterial Panicle Blight,150
Paddy - Blast,151
Paddy - Brown Spot,152
Paddy - Dead Heart,153
Paddy - Downy Mildew,154
Paddy - Healthy,155
Paddy - Hispa,156
Paddy - Tungro,157
Peach - Healthy,158
Peach - peach brown rot Bing ,159
Peach - peach brown rot Google ,160
Peach - peach leaf curl,161
Peach - peach leaf curl ,162
Peach - peach scab Bing ,163
Plum - plum bacterial spot Bing ,164
Plum - plum brown rot Bing ,165
Plum - plum pocket disease,166
Plum - plum pox virus Bing ,167
Plum - plum rust Bing ,168
Potato - Early Blight,169
Potato - Healthy,170
Potato - Late Blight,171
Potato - potato early blight,172
Potato - potato early blight ,173
Potato - potato late blight,174
Potato - potato late blight ,175
Radish - Black leaf spot,176
Radish - Downey mildew,177
Radish - Flea beetle,178
Radish - Healthy,179
Radish - Mosaic,180
Raspberry - Healthy,181
Raspberry - raspberry fire blight Bing ,182
Raspberry - raspberry gray mold Bing ,183
Raspberry - raspberry leaf spot Bing ,184
Raspberry - raspberry yellow rust Bing ,185
Rice - rice blast,186
Rice - rice blast ,187
Rice - rice sheath blight,188
Rice - rice sheath blight ,189
Soybean - Healthy,190
Soybean - soybean bacterial blight Bing ,191
Soybean - soybean bacterial blight Google ,192
Soybean - soybean brown spot Bing ,193
Soybean - soybean downy mildew Baidu ,194
Soybean - soybean downy mildew Bing ,195
Soybean - soybean downy mildew Google ,196
Soybean - soybean frog eye leaf spot Baidu ,197
Soybean - soybean frog eye leaf spot Bing ,198
Soybean - soybean frog eye leaf spot Google ,199
Soybean - soybean mosaic Baidu ,200
Soybean - soybean mosaic Bing ,201
Soybean - soybean mosaic Google ,202
Soybean - soybean rust Baidu ,203
Soybean - soybean rust Bing ,204
Squash - Powdery Mildew,205
Squash - squash powdery mildew,206
Squash - squash powdery mildew ,207
Strawberry - Healthy,208
Strawberry - strawberry anthracnose,209
Strawberry - strawberry leaf scorch,210
Sugarcane - Healthy,211
Sugarcane - Mosaic,212
Sugarcane - Red Rot,213
Sugarcane - Rust,214
Sugarcane - Yellow,215
Tobacco - tobacco blue mold Bing ,216
Tobacco - tobacco blue mold Google ,217
Tobacco - tobacco brown spot Bing ,218
Tobacco - tobacco frogeye leaf spot Google ,219
Tobacco - tobacco mosaic virus ,220
Tomato - Bacterial Spot,221
Tomato - Early Blight,222
Tomato - Healthy,223
Tomato - Late Blight,224
Tomato - Leaf Mold,225
Tomato - Mosaic Virus,226
Tomato - Septoria Leaf Spot,227
Tomato - Spider Mites,228
Tomato - Target Spot,229
Tomato - Yellow Leaf Curl Virus,230
Tomato - tomato bacterial leaf spot,231
Tomato - tomato bacterial leaf spot ,232
Tomato - tomato early blight,233
Tomato - tomato early blight ,234
Tomato - tomato late blight,235
Tomato - tomato late blight ,236
Tomato - tomato leaf mold,237
Tomato - tomato leaf mold ,238
Tomato - tomato mosaic virus,239
Tomato - tomato mosaic virus ,240
Tomato - tomato septoria leaf spot,241
Tomato - tomato septoria leaf spot ,242
Tomato - tomato yellow leaf curl virus,243
Tomato - tomato yellow leaf curl virus ,244
Wheat - wheat bacterial leaf streak (black chaff) Baidu ,245
Wheat - wheat bacterial leaf streak (black chaff) Bing ,246
Wheat - wheat bacterial leaf streak (black chaff) Google ,247
Wheat - wheat bacterial leaf streak (black chaff) black chaff (),248
Wheat - wheat bacterial leaf streak (black chaff)black chaff (),249
Wheat - wheat head scab Baidu ,250
Wheat - wheat head scab Bing ,251
Wheat - wheat head scab Google ,252
Wheat - wheat leaf rust Baidu ,253
Wheat - wheat leaf rust Bing ,254
Wheat - wheat leaf rust Google ,255
Wheat - wheat loose smut Baidu ,256
Wheat - wheat loose smut Bing ,257
Wheat - wheat loose smut Google ,258
Wheat - wheat powdery mildew Baidu ,259
Wheat - wheat powdery mildew Bing ,260
Wheat - wheat powdery mildew Google ,261
Wheat - wheat septoria blotch Baidu ,262
Wheat - wheat septoria blotch Bing ,263
Wheat - wheat septoria blotch Google ,264
Wheat - wheat septoria blotch blotch (),265
Wheat - wheat septoria blotchseptoria (),266
Wheat - wheat stem rust Baidu ,267
Wheat - wheat stem rust Bing ,268
Wheat - wheat stem rust Google ,269
Wheat - wheat stripe rust Baidu ,270
Wheat - wheat stripe rust Bing ,271
Wheat - wheat stripe rust Google ,272
Zucchini - zucchini bacterial wilt Bing ,273
Zucchini - zucchini bacterial wilt Google ,274
Zucchini - zucchini downy mildew Bing ,275
Zucchini - zucchini downy mildew Google ,276
Zucchini - zucchini powdery mildew Bing ,277
Zucchini - zucchini powdery mildew Google ,278
Zucchini - zucchini yellow mosaic virus,279
Zucchini - zucchini yellow mosaic virus ,280
